,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source
172,195564,rj72.176,5421,118,1.8673,0.0833,0.06,,,,VonBraun
173,222603,rj173.424,7734,80,2.0403,0.0451,0.0,,,,VonBraun
174,19373f,rj101.225,5832,33,1.4148,0.0149,0.08,,,,VonBraun
175,30652,rj185.784,6441,19,1.3223,0.0103,0.0,,,,VonBraun
176,109358,rj122.680,5700,95,1.0999,0.0415,-0.19,,,,VonBraun
177,126660,rj187.199,6211,19,1.7336,0.0112,-0.02,,,,VonBraun
178,173701,rj187.483,5297,53,0.952,0.021,0.24,,,,VonBraun
179,177153,rj173.400,5909,69,1.289,0.037,-0.06,,,,VonBraun
180,181420,rj188.905,6283,106,1.73,0.084,-0.03,,,,VonBraun
181,182736,rj188.557,5239,37,2.703,0.071,-0.06,,,,VonBraun
182,187637,rj188.561,6155,85,1.306,0.047,-0.09,,,,VonBraun
183,103095,rj189.2472,4791,28,0.6784,0.0055,-1.26,,,,VonBraun
184,9826,rj26.574,6104,75,1.6537,0.0324,0.08,,,,VonBraun
185,217014,rj23.1103,5706,95,1.1678,0.0416,0.17,,,,VonBraun
186,10476,rj13.2068,5242,12,0.8101,0.0045,-0.02,,,,VonBraun
187,10697,rj78.493,5442,65,1.9155,0.0521,0.12,,,,VonBraun
188,11964A,rj02.950,5013,62,2.1425,0.0687,0.14,,,,VonBraun
189,217107,rj134.391,5391,40,1.2104,0.0195,0.31,,,,VonBraun
190,GL338B,rj185.875,4950,14,0.6954,0.0041,-0.22,,,,VonBraun
191,GL105B,rj15.1926,4662,17,0.7949,0.0062,-0.08,,,,VonBraun
192,GL338B,rj185.875,3867,37,0.5673,0.0137,-0.15,,,,VonBraun
193,GL412A,rj50.360,3497,39,0.3982,0.0091,-0.4,,,,VonBraun
194,119850,rj172.1470,3618,31,0.484,0.0084,-0.3,,,,VonBraun
195,149661,rj222.759,5337,41,0.7591,0.0122,0.04,,,,VonBraun
196,GL687,rj172.1088,3413,28,0.4183,0.007,-0.09,,,,VonBraun
197,GL702A,rj187.475,5407,52,0.831,0.0044,0.03,,,,VonBraun
198,GL702B,rj187.477,4393,149,0.6697,0.0089,0.03,,,,VonBraun
199,173739,rj70.783,3407,15,0.3561,0.0039,-0.49,,,,VonBraun
200,173740,rj70.782,3104,28,0.3232,0.0061,-0.36,,,,VonBraun
201,199305,rj59.1033,3692,22,0.5472,0.0067,-0.21,,,,VonBraun
202,216899,rj59.1926,3713,11,0.5477,0.0048,0.06,,,,VonBraun
203,219134,rj138.553,4699,16,0.7784,0.0053,0.07,,,,VonBraun
204,GL53,rj185.1081,5348,26,0.791,0.008,-0.68,,,,VonBraun
205,GL144,rj185.1133,5077,35,0.735,0.005,-0.06,,,,VonBraun
206,GL570B,rj55.906,4507,58,0.739,0.019,0.02,,,,VonBraun
207,185144,rj172.1115,5246,26,0.778,0.008,-0.19,,,,VonBraun
208,GL699,rj130.2075,3222,10,0.1869,0.0012,-0.39,,,,VonBraun
209,201091,rj08.1236,4361,17,0.6611,0.0048,-0.19,,,,VonBraun
210,201092,rj38.235,3932,25,0.601,0.0072,-0.29,,,,VonBraun
211,217987,rj59.2222,3676,35,0.4712,0.0086,-0.19,,,,VonBraun
212,115617,rj08.724,5538,13,0.9867,0.0048,0.01,,,,VonBraun
213,143761,rj70.466,5627,54,1.3617,0.0262,-0.22,,,,VonBraun
214,GJ176,rj216.111,3679,77,0.4525,0.0221,0.15,,,,VonBraun
215,145675,rj154.295,5518,102,0.8668,0.0324,0.44,,,,VonBraun
216,GL876,rj45.605,3129,19,0.3761,0.0059,0.19,,,,VonBraun
217,1461,rj64.89,5386,60,1.2441,0.0305,0.16,,,,VonBraun
218,7924,rj179.927,5075,83,0.7821,0.0258,-0.14,,,,VonBraun
219,107383,rj185.1190,4705,24,15.781,0.3444,-0.3,,,,VonBraun
220,210702,rj156.1776,4780,18,5.2314,0.1171,0.03,,,,VonBraun
