SPOCSNUM,NAME,SNR,LRMS,CRMS,VSINI,TEFF,LOGG,MONH,FEH
2370,KIC-9716028,47,0.0499,0.0256,4.30,6107.1,4.1181,0.1068,0.1421
2371,KOI-5706,22,0.0588,0.0754,2.10,5702.5,4.2132,0.1770,0.1727
2372,KIC-9965715,107,0.0152,0.0124,7.75,6357.4,4.2263,-0.1963,-0.1834
2373,KIC-9965691,33,0.0408,0.0356,0.10,6462.1,3.9925,-0.0856,-0.0543
2374,KIC-9959608,78,0.0177,0.0153,6.00,5805.7,4.5185,-0.0671,-0.0309
2375,KIC-9958387,68,0.0521,0.0193,5.52,6086.9,4.0672,0.0521,0.0799
2376,KIC-10018963,55,0.0239,0.0201,1.98,6082.2,3.8300,-0.1711,-0.1389
2377,KIC-10006542,29,0.0410,0.0426,2.78,5550.5,4.3979,0.0755,0.0737
2378,KOI-7235,33,0.0362,0.0360,0.54,5393.4,4.5254,-0.1022,-0.1438
2379,KIC-10024862,23,0.0610,0.0614,3.18,5979.8,4.3752,-0.1191,-0.1210
2380,KOI-7605,25,0.0581,0.0554,3.18,5949.7,4.5404,-0.0632,-0.0465
2381,KIC-9880470,18,0.0767,0.0740,2.69,4832.9,4.4491,0.0039,0.0380
2382,KIC-9786364,48,0.0353,0.1144,1.79,5762.9,4.4788,-0.1250,-0.1246
2383,KIC-9428430,71,0.0232,0.0174,9.28,6177.3,3.7690,0.0311,0.1134
2384,KIC-10001391,34,0.0506,0.0321,2.28,5947.6,4.2281,-0.1057,-0.1017
2385,KIC-9972385,34,0.0372,0.0355,20.08,6347.2,3.9513,-0.0025,0.0712
2386,KOI-5702,26,0.0492,0.0480,2.92,5719.7,4.5393,-0.0842,-0.0704
2387,KIC-9480535,34,0.0355,0.0398,4.02,6092.8,4.1685,-0.0492,-0.0428
2388,KIC-10068307,50,0.0252,0.0222,2.90,6138.2,3.9416,-0.0932,-0.0707
2389,HTR154-011,233,0.0194,0.0094,0.10,6207.5,3.8442,0.1708,0.2395
2390,KOI-7345,26,0.0505,0.0463,1.41,5719.7,4.3825,-0.1010,-0.1013
2391,KOI-5792,24,0.0568,0.0540,1.10,4800.1,4.4982,-0.0120,0.0209
2392,KOI-5790,22,0.0717,0.0585,0.37,4778.8,4.4536,0.0688,0.0898
2393,HTR154-018,82,0.0483,0.0236,2.07,5294.7,4.6316,-0.5063,-0.6116
2394,KIC-10593535,46,0.0261,0.0249,2.18,5891.0,4.2913,0.1404,0.1408
2395,KIC-10593351,51,0.0252,0.0226,7.78,5835.7,3.8040,0.3146,0.3764
2396,KIC-10471412,28,0.0533,0.0442,2.27,5755.3,4.4628,0.1545,0.1619
2397,KIC-10459987,33,0.0375,0.0347,8.03,5323.0,4.4900,0.0684,0.1325
2398,KIC-10398088,29,0.0448,0.0377,1.88,5430.7,4.4947,-0.0893,-0.0703
2399,KIC-10360722,36,0.0338,0.0320,0.10,5137.1,4.5159,0.0653,0.0537
2400,KIC-10355856,107,0.0172,0.0115,0.10,6396.0,4.0340,-0.0339,-0.0036
2401,KIC-10292238,28,0.0515,0.0455,0.10,6040.9,4.7179,-0.0392,-0.1039
2402,KIC-10287145,38,0.0365,0.0283,0.10,4868.0,3.1788,-0.0908,-0.0837
2403,KIC-10162436,55,0.0237,0.0205,1.93,6148.1,3.8842,-0.0296,0.0057
2404,KIC-10147635,52,0.0268,0.0230,4.90,5921.9,3.7938,0.0659,0.1218
2405,KIC-10130853,57,0.0318,0.0245,1.93,4796.4,3.3036,0.4227,0.4486
2406,KIC-10080792,39,0.0917,0.0461,6.19,4927.1,4.2784,-0.0253,0.1331
2407,KIC-10079226,51,0.0232,0.0208,2.95,5926.8,4.2728,0.1451,0.1692
2408,KIC-10850327,80,0.0171,0.0145,3.04,6011.4,4.1602,-0.0742,-0.0687
2409,KIC-10815729,38,0.0558,0.0335,12.68,5153.8,3.6752,0.1522,0.2173
2410,KIC-10796663,29,0.0430,0.0415,4.38,5367.4,4.5417,-0.1326,-0.0981
2411,KIC-10749841,30,0.0497,0.0473,0.58,5888.4,4.4278,-0.0972,-0.1001
2412,KIC-10730618,109,0.0175,0.0120,0.10,6318.2,4.0220,0.0237,0.0555
2413,KIC-11253226,48,0.0268,0.0235,10.14,6580.9,4.0925,0.0361,0.1135
2414,KIC-11253827,87,0.0158,0.0146,3.88,5576.2,4.4925,0.0649,0.1017
2415,KOI-5855,23,0.0574,0.0549,1.91,5595.2,4.4758,0.0125,0.0277
2416,KOI-5852,22,0.0629,0.0590,0.10,5722.1,4.3291,-0.0155,-0.0543
2417,KOI-5850,21,0.0640,0.0619,2.36,5553.2,4.4707,-0.0254,-0.0162
2418,KOI-5869,24,0.0607,0.0496,0.10,4758.9,2.7614,-0.1648,-0.1777
2419,KIC-11187332,34,0.0631,0.2056,1.54,5498.3,4.3219,-0.1386,-0.1402
2420,KIC-11182758,37,0.0505,0.1296,0.10,4884.1,3.3906,-0.0764,-0.1266
2421,KIC-11179629,78,0.0168,0.0158,4.77,5640.0,4.5225,0.0927,0.1301
2422,KIC-11146592,41,0.0377,0.0288,1.60,4796.5,2.7715,0.1410,0.2424
2423,KIC-11137075,51,0.0240,0.0218,2.24,5649.2,4.2258,-0.0418,-0.0993
2424,KIC-11128041,32,0.0395,0.0358,3.33,5941.2,4.6736,-0.1667,-0.1571
2425,KIC-11126267,29,0.0415,0.0393,0.10,5352.3,4.5057,-0.2161,-0.2419
2426,KIC-11193681,53,0.0234,0.0231,2.46,5605.3,3.8058,0.2635,0.3072
2427,KIC-11026764,114,0.0141,0.0115,3.75,5676.1,3.9311,0.0555,0.0737
